species	code	habitat
Hemidactylus bouvieri	4.5	Grassland - Subtropical/Tropical Dry
Saurauia pereirae	1.6	Forest - Subtropical/Tropical Moist Lowland
Pteropus livingstonii	1.6	Forest - Subtropical/Tropical Moist Lowland
Pteropus livingstonii	1.9	Forest - Subtropical/Tropical Moist Montane
Helianthemum teneriffae	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Polyspora gardneri	1.9	Forest - Subtropical/Tropical Moist Montane
Dypsis tanalensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Pomarea whitneyi	1.6	Forest - Subtropical/Tropical Moist Lowland
Pomarea whitneyi	1.9	Forest - Subtropical/Tropical Moist Montane
Pomarea whitneyi	3.6	Shrubland - Subtropical/Tropical Moist
Phyllostegia electra	1.6	Forest - Subtropical/Tropical Moist Lowland
Phyllostegia electra	1.9	Forest - Subtropical/Tropical Moist Montane
Alburnus nasreddini	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Alburnus nasreddini	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Sorbus borosiana	1.4	Forest - Temperate
Mniophilosoma obscurum	1.4	Forest - Temperate
Mniophilosoma obscurum	3.4	Shrubland - Temperate
Mniophilosoma obscurum	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Sphaeromimus titanus	1.6	Forest - Subtropical/Tropical Moist Lowland
Werneria tandyi	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Werneria tandyi	1.9	Forest - Subtropical/Tropical Moist Montane
Werneria tandyi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Aloe classenii	1.5	Forest - Subtropical/Tropical Dry
Aloe classenii	2.1	Savanna - Dry
Millepora boschmai	9.8	Marine Neritic - Coral Reef
Millepora boschmai	9.8.1	Outer Reef Channel
Millepora boschmai	9.8.2	Back Slope
Millepora boschmai	9.8.3	Foreslope (Outer Reef Slope)
Millepora boschmai	9.8.4	Lagoon
Millepora boschmai	9.8.6	Inter-Reef Rubble Substrate
Octodon pacificus	1.6	Forest - Subtropical/Tropical Moist Lowland
Uvaria manjensis	1.5	Forest - Subtropical/Tropical Dry
Aloe zubb	1.9	Forest - Subtropical/Tropical Moist Montane
Aloe zubb	3.7	Shrubland - Subtropical/Tropical High Altitude
Aloe zubb	6	Rocky areas (eg. inland cliffs, mountain peaks)
Eucalyptus beardiana	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Pomarea mira	14.6	Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest
Pomarea mira	1.6	Forest - Subtropical/Tropical Moist Lowland
Pomarea mira	1.9	Forest - Subtropical/Tropical Moist Montane
Hydrobia anatolica	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Homalium randrianasoloi	1.6	Forest - Subtropical/Tropical Moist Lowland
Valenfriesia janischi	1.4	Forest - Temperate
Ptychobranchus jonesi	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Paphiopedilum gigantifolium	1.9	Forest - Subtropical/Tropical Moist Montane
Daphnopsis occulta	1.6	Forest - Subtropical/Tropical Moist Lowland
Spiralix corsica	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
Palaina patula	1.6	Forest - Subtropical/Tropical Moist Lowland
Cleistocactus xylorhizus	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Euastacus gamilaroi	18	Unknown
Euastacus gamilaroi	1.9	Forest - Subtropical/Tropical Moist Montane
Boucardicus fortistriatus	1.5	Forest - Subtropical/Tropical Dry
Ascoglossum calopterum	1.6	Forest - Subtropical/Tropical Moist Lowland
Miconia rufipila	1.6	Forest - Subtropical/Tropical Moist Lowland
Guaiacum unijugum	3.4	Shrubland - Temperate
Guaiacum unijugum	8.1	Desert - Hot
Mesocapromys sanfelipensis	5.4	Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
Gaertnera schatzii	1.6	Forest - Subtropical/Tropical Moist Lowland
Modellnaia siamensis	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Vatica cauliflora	1.6	Forest - Subtropical/Tropical Moist Lowland
Parodia werdermanniana	4.4	Grassland - Temperate
Mchenga conophoros	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Indri indri	1.6	Forest - Subtropical/Tropical Moist Lowland
Indri indri	1.9	Forest - Subtropical/Tropical Moist Montane
Cercocebus galeritus	1.5	Forest - Subtropical/Tropical Dry
Cercocebus galeritus	1.6	Forest - Subtropical/Tropical Moist Lowland
Cercocebus galeritus	1.8	Forest - Subtropical/Tropical Swamp
Cercocebus galeritus	3.5	Shrubland - Subtropical/Tropical Dry
Cercocebus galeritus	3.6	Shrubland - Subtropical/Tropical Moist
Cercocebus galeritus	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Cercocebus galeritus	5.13	Wetlands (inland) - Permanent Inland Deltas
Cercocebus galeritus	5.2	Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
Cercocebus galeritus	5.7	Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
Cercocebus galeritus	5.8	Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
Alphandia resinosa	1.6	Forest - Subtropical/Tropical Moist Lowland
Notropis calabazas	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Hunteria hexaloba	1.6	Forest - Subtropical/Tropical Moist Lowland
Caecocypris basimi	5.18	Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland)
