species	code	habitat
Holothuria scabra	9.6	Marine Neritic - Subtidal Muddy
Holothuria scabra	9.8	Marine Neritic - Coral Reef
Holothuria scabra	9.8.1	Outer Reef Channel
Holothuria scabra	9.8.2	Back Slope
Holothuria scabra	9.8.4	Lagoon
Holothuria scabra	9.9	Marine Neritic - Seagrass (Submerged)
Veronica transcaucasica	3.8	Shrubland - Mediterranean-type Shrubby Vegetation
Veronica transcaucasica	4.4	Grassland - Temperate
Ocimum urundense	2.1	Savanna - Dry
Ocimum urundense	4.5	Grassland - Subtropical/Tropical Dry
Sorbus slovenica	1.4	Forest - Temperate
Sorbus slovenica	4.4	Grassland - Temperate
Boophis haingana	1.6	Forest - Subtropical/Tropical Moist Lowland
Boophis haingana	1.9	Forest - Subtropical/Tropical Moist Montane
Boophis haingana	5.1	Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
Lates macrophthalmus	5.5	Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
Paederia taolagnarensis	1.6	Forest - Subtropical/Tropical Moist Lowland
Tripsacum peruvianum	1.6	Forest - Subtropical/Tropical Moist Lowland
Dasyurus hallucatus	1.5	Forest - Subtropical/Tropical Dry
Dasyurus hallucatus	3.4	Shrubland - Temperate
Pandanus pristis	1.5	Forest - Subtropical/Tropical Dry
Pandanus pristis	6	Rocky areas (eg. inland cliffs, mountain peaks)
